"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U5";"SOT-23-5";1;"SPX3819M5-L-3-3";;;
2;"C5,C9,C4";"C_0603_1608Metric";3;"10u";;;
3;"C3,C8,C6,C2";"C_0603_1608Metric";4;"470n";;;
4;"R1";"R_0805_2012Metric";1;"0R";;;
5;"U6";"SOT-23-5";1;"SPX3819M5-L-5-0";;;
6;"C7";"C_0603_1608Metric";1;"100n";;;
7;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Hall Effect";;;
8;"R2";"R_0201_0603Metric";1;"60R";;;
9;"D1";"LED_0201_0603Metric";1;"LED";;;
10;"J8,J6,J2,J7";"PinHeader_1x01_P2.54mm_Vertical";4;"Conn_01x01_Pin";;;
11;"U2";"SOIC-16W_5.3x10.2mm_P1.27mm";1;"ULN2003ADR";;;
12;"U1";"VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm";1;"ATtiny1616-MNR";;;
13;"C1";"C_Elec_5x5.4";1;"100u";;;
14;"J3";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Stepper Connector";;;
15;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"UPDI Programming";;;
16;"U3";"SOIC-8_5.3x6.2mm_P1.27mm";1;"SN65HVD72DR";;;
17;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
